acid,epoxide,tg,std
Cc1ccccc1CCNC(=O)C(CCC(=O)O)CCC(=O)O,CCOC(=O)c1cc(NC(=O)C=Cc2ccc(OCC3CO3)c(OCC)c2)ccc1OCC1CO1,417.9794,27.1967
O=C(O)COCc1ccc(NC(=O)Nc2cccc(N3CCOCC3)c2)cc1COCC(=O)O,O=C(NCc1cccc(OCC2CO2)c1)c1ccc2ccccc2c1OCC1CO1,437.9281,18.9128
COc1cc(COCC(=O)O)ccc1C(=O)Nc1ncccc1COCC(=O)O,O=C(NCc1cccc(OCc2ccccn2)c1)c1cccc(OCC2CO2)c1OCC1CO1,443.103,45.9487
CC(C)(CC(=O)O)CC(=O)N(CCNCCC(=O)O)CCc1ccccc1,COc1ccc(C=CC(=O)O)cc1OCC(=O)N(CC1CO1)CC1CO1,423.9657,31.1824
O=C(O)CNCCCNCC(=O)O,O=C(Nc1cccc(OCC(=O)N(CC2CO2)CC2CO2)c1)C1CC1,401.9324,26.4997
NC(=O)c1ccc(CN(C(=O)Nc2ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc2)C2CC2)cc1,O=C(NCc1cccnc1OCC1CO1)c1cccc(OCC2CO2)c1,467.3016,45.0811
O=C(O)CCC(CCC(=O)O)C(=O)N1CCC(C(=O)c2ccccc2)CC1,Cc1ccc(C(=O)N2CCN(C(=O)c3cccc(OCC4CO4)c3)CC2)c(OCC2CO2)n1,473.0246,30.7856
CCCN(CC)CC(=O)N(CCC(=O)O)CCC(=O)O,Cc1ccc(OCCN2CCN(C(=O)C(CC3CO3)CC3CO3)CC2)cc1,371.6888,17.9975
O=C(O)CCN(CCC(=O)O)C(=O)C(=O)NCCCn1cnc2ccccc21,Cc1cc(OCC2CO2)ccc1NC(=O)c1cc(CC(C)C)nc(OCC2CO2)c1,417.3698,22.414
CCCN(CC(=O)O)c1ncc(C(=O)O)cn1,COC(=O)CN(C)CCNC(=O)c1cccc(OCC2CO2)c1OCC1CO1,382.5077,11.5789
O=C(O)COCC(COCC(=O)O)NC(=O)Cc1cccc(C2CC2)c1,Cc1cccc(C(=O)NCCNCC(=O)N(CC2CO2)CC2CO2)c1C,412.8944,13.8982
CC(C)(Oc1ccc2c(c1)CCC(=Cc1ccc(C(=O)O)cc1)C2=O)C(=O)O,COc1ccccc1CN1CCN(C(=O)c2ccc(OCC3CO3)cc2OCC2CO2)CC1,433.3961,56.5163
CCN(Cc1ccc(OC)c(OC)c1)C(=O)CN(CCCOCC(=O)O)CCOCC(=O)O,C=CCCCCNC(=O)C=Cc1ccc(OCC2CO2)c(OCC2CO2)c1,350.1998,18.6316
COc1ccc(OCCOc2c(COCC(=O)O)cc(OC)cc2COCC(=O)O)cc1,O=C(c1cc(OCC2CO2)cc(OCC2CO2)n1)N1CCCN(c2ccccc2)CC1,410.4169,18.9582
Cc1ccccc1OCCN(C)C(=O)Nc1ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc1,Cc1ccc(NC(=O)c2ccc3oc(OCC4CO4)nc3c2)cc1OCC1CO1,460.2689,31.6965
NC(CCCCCCC(=O)O)C(=O)O,Cc1ccc(NC(=O)N(CC2CO2)CC2CO2)cc1N1CCCC1,389.3924,22.4132
CC1CCC(N(C)C(=O)Nc2ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc2)CC1,CCCCn1cc(C(=O)NCc2ccc(OCC3CO3)c(OCC3CO3)c2)c(C)n1,431.0553,21.4533
O=C(O)CCOc1ccc(NC(=O)CC2(CC(=O)O)CCCCC2)cc1,COc1cc(OCC2CO2)ncc1C(=O)N1CCN(Cc2ccc(OCC3CO3)cc2)CC1,425.7409,19.4481
