acid,epoxide,tg
O=C(O)CCCCOc1ccccc1CCC(=O)O,COc1ccc(OCC2CO2)c(CNC(=O)CCc2ccc(OCC3CO3)cc2)c1,335.6689
CCn1cc(C(=O)N(CCC(=O)O)CCC(=O)O)c(C)n1,CCc1ccc(NC(=O)N(CCCOCC2CO2)CCOCC2CO2)cc1,348.2315
O=C(O)CCC(CCC(=O)O)C(=O)Nc1ccc(N2CCN(C(=O)C3CC3)CC2)nc1,CC(N)C(=O)Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1,408.5562
COC(=O)COc1ccc(N(C)C(=O)C(CCC(=O)O)CCC(=O)O)cc1,CC(C)(C)OC(=O)COc1ccc(C(=O)NCCc2ccc(OCC3CO3)c(OCC3CO3)c2)cc1,353.6171
O=C(O)CCCn1cc(C(=O)NCc2ccc3c(c2)CN(CCC(=O)O)C3)nn1,O=C(NCCOCC1CO1)c1cccc(OCc2ccc(COCC3CO3)cc2)c1,359.4645
CCOc1ccc(C(=O)Nc2cc(COCC(=O)O)cc(COCC(=O)O)c2)cc1OCC,COc1cccc(CN2CCN(Cc3ccc(OCC4CO4)cc3)CC2)c1OCC1CO1,352.9299
COC(=O)COc1ccc(NC(=O)N(CCOCC(=O)O)CCOCC(=O)O)c2ccccc12,COc1ccc(OCC2CO2)c(C(=O)C=Cc2cc(OC)c(OCC3CO3)c(OC)c2)c1,341.0631
CC(C)(NCC(=O)N(CCC(=O)O)CCC(=O)O)c1ccccc1,CN(C(=O)COC(=O)c1ccc(OCC2CO2)cc1OCC1CO1)C1CCCCC1,342.9211
CCc1ccc(Cn2c(=O)n(CCC(=O)O)c(=O)n(CCC(=O)O)c2=O)cc1,CC(C)C(=O)Nc1ccc(CNC(=O)c2cc(OCC3CO3)cc(OCC3CO3)n2)cc1,458.4580
O=C(O)c1ccc(NC(=O)C2(C(=O)O)CCC2)cc1,O=C(CCOCc1ccccc1)Nc1ccc(COCC2CO2)c(COCC2CO2)c1,419.2247
O=C(O)COc1cccc(C=NNc2ccc(C(=O)O)nc2)c1,COC(=O)c1ccc(NCC(=O)N(CC2CO2)CC2CO2)cc1OC,380.5878
O=C(O)CCn1cccc1C(=O)NCc1ccc(CNC(=O)c2cccn2CCC(=O)O)cc1,O=C(CCn1ccnc1)Nc1cccc(C(=O)N(CC2CO2)CC2CO2)c1,379.8220
O=C(O)CCN1CCC(NC(=O)c2cccc(C(=O)NC3CCN(CCC(=O)O)CC3)n2)CC1,COc1cc(C=CC(=O)c2ccc(OCC3CO3)cc2OCC2CO2)ccc1OCCC(=O)O,357.6808
COc1cccc(C=Nc2cccc(C(=O)O)c2)c1OCc1ccc(C(=O)O)cc1,O=C(Cn1cccnc1=O)NCCc1ccc(OCC2CO2)c(OCC2CO2)c1,365.3727
N#Cc1cccc(OCC(=O)N(CCC(=O)O)CCC(=O)O)c1,CCOc1ccc(CN(Cc2ccco2)Cc2ccccc2OCC2CO2)c(OCC2CO2)c1,345.3982
Cc1cc(CNC(C)CCCCC(=O)O)ccc1C(=O)O,O=C(CCc1ccco1)OCC(=O)N(CC1CO1)CC1CO1,316.4998
CCc1cc(C)nc(NCCNC(=O)C(CCC(=O)O)CCC(=O)O)n1,NCC(=O)NCC(=O)NCc1cccc(OCC2CO2)c1OCC1CO1,335.8001
O=C(O)COCC(COCC(=O)O)NC(=O)c1ccc(OCc2ccccc2)cc1,CNC(=O)CN1CCN(C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)CC1,380.6513
